suite,imp,starttime,returnvalue,walltime,cputime,memory,blkio-read,blkio-write,pressure-cpu-some,pressure-io-some,pressure-memory-some
knucleotide,gcc,2026-09-24T12:47:45.485474+10:00,0,0.06710025600000336,0.065153,23609344,0,0,0.000071,0.000837,0
knucleotide,gcc,2026-09-24T12:47:45.819341+10:00,0,0.06476367000004757,0.062789,23646208,0,0,0.000099,0.000981,0
knucleotide,gcc,2026-09-24T12:47:46.178160+10:00,0,0.06279171699998187,0.061099,23576576,0,0,0.000067,0.000742,0
knucleotide,gcc,2026-09-24T12:47:46.502184+10:00,0,0.06316182199998366,0.061589,23646208,0,0,0.000057,0.000768,0
knucleotide,gcc,2026-09-24T12:47:46.828079+10:00,0,0.06236503399998128,0.060903,23572480,0,0,0.000051,0.000733,0
knucleotide,growler,2026-09-24T12:47:47.163561+10:00,0,0.2146434539999973,0.201581,55099392,0,0,0.000331,0.002005,0
knucleotide,growler,2026-09-24T12:47:47.627966+10:00,0,0.20068193400004475,0.198439,55160832,0,0,0.000055,0.0006,0
knucleotide,growler,2026-09-24T12:47:48.086082+10:00,0,0.1996163979999892,0.197716,55099392,0,0,0.000075,0.000577,0
knucleotide,growler,2026-09-24T12:47:48.534209+10:00,0,0.20086049999997613,0.198691,55164928,0,0,0.000108,0.000471,0
knucleotide,growler,2026-09-24T12:47:49.001428+10:00,0,0.19754777200000717,0.195404,55099392,0,0,0.000086,0.00069,0
knucleotide,python3,2026-09-24T12:47:49.457168+10:00,0,3.7170470610000166,3.687661,99332096,0,0,0.00075,0.00187,0
knucleotide,python3,2026-09-24T12:47:53.571868+10:00,0,3.712300783999922,3.679812,99225600,0,0,0.001079,0.001721,0
knucleotide,python3,2026-09-24T12:47:57.677276+10:00,0,3.6956567890000542,3.664938,99377152,0,0,0.000694,0.001818,0
knucleotide,python3,2026-09-24T12:48:01.774930+10:00,0,3.5478564180000376,3.514026,99373056,0,0,0.000836,0.001869,0
knucleotide,python3,2026-09-24T12:48:05.717386+10:00,0,3.5911021199999595,3.561321,99332096,0,0,0.000648,0.001928,0
knucleotide,goal,2026-09-24T12:48:09.694561+10:00,0,0.12494174899995869,0.183564,163360768,0,0,0.000254,0.002241,0
knucleotide,goal,2026-09-24T12:48:10.078164+10:00,0,0.1154662469999721,0.182394,163102720,0,0,0.000138,0.000447,0
knucleotide,goal,2026-09-24T12:48:10.458779+10:00,0,0.11774112099999456,0.1835,163094528,0,0,0.000255,0.000487,0
knucleotide,goal,2026-09-24T12:48:10.843333+10:00,0,0.11625804599998446,0.182879,163397632,0,0,0.000118,0.000652,0
knucleotide,goal,2026-09-24T12:48:11.218230+10:00,0,0.11823629200000596,0.186103,163528704,0,0,0.000206,0.000652,0
knucleotide,bqn,2026-09-24T12:48:11.594250+10:00,0,0.044943138999997245,0.042295,75894784,0,0,0.000131,0.001129,0
knucleotide,bqn,2026-09-24T12:48:11.920549+10:00,0,0.04576796899993951,0.04226,76054528,0,0,0.000225,0.00151,0
knucleotide,bqn,2026-09-24T12:48:12.237126+10:00,0,0.04494916299995566,0.042059,76226560,0,0,0.000162,0.001473,0
knucleotide,bqn,2026-09-24T12:48:12.553987+10:00,0,0.04733766399999695,0.044113,76050432,0,0,0.00029,0.001081,0
knucleotide,bqn,2026-09-24T12:48:12.868992+10:00,0,0.046510248999993564,0.042445,75898880,0,0,0.000188,0.0012,0
knucleotide,l,2026-09-24T12:48:13.182329+10:00,0,0.1899078129999907,0.378623,549695488,0,0,0.000198,0.003338,0
knucleotide,l,2026-09-24T12:48:13.641763+10:00,0,0.17717826399996284,0.372497,549687296,0,0,0.000202,0.000193,0
knucleotide,l,2026-09-24T12:48:14.088086+10:00,0,0.17488297100010186,0.373463,549650432,0,0,0.000155,0.000153,0
knucleotide,l,2026-09-24T12:48:14.529042+10:00,0,0.17391179799994916,0.373562,549654528,0,0,0.000146,0.000156,0
knucleotide,l,2026-09-24T12:48:14.957202+10:00,0,0.17608581199999662,0.374395,549687296,0,0,0.00019,0.000189,0
knucleotide,amber,2026-09-24T12:48:15.399202+10:00,0,0.051229466000108914,0.039604,24838144,0,0,0.000141,0.009823,0
knucleotide,amber,2026-09-24T12:48:15.712640+10:00,0,0.04250994400001673,0.040059,25022464,0,0,0.000096,0.000752,0
