suite,imp,starttime,returnvalue,walltime,cputime,memory,blkio-read,blkio-write,pressure-cpu-some,pressure-io-some,pressure-memory-some
knucleotide,gcc,2026-09-15T12:44:43.889411+10:00,0,0.022912661981536075,0.020338,7917568,0,0,0.000167,0.00114,0
knucleotide,gcc,2026-09-15T12:44:44.196357+10:00,0,0.02452639100374654,0.02242,7876608,0,0,0.000066,0.000814,0
knucleotide,gcc,2026-09-15T12:44:44.507832+10:00,0,0.019424206984695047,0.017853,7917568,0,0,0.000068,0.00077,0
knucleotide,gcc,2026-09-15T12:44:44.803025+10:00,0,0.02429856499657035,0.022472,7884800,0,0,0.000064,0.000689,0
knucleotide,gcc,2026-09-15T12:44:45.101022+10:00,0,0.021727691986598074,0.019738,7880704,0,0,0.000053,0.000735,0
knucleotide,growler,2026-09-15T12:44:45.389782+10:00,0,0.1189222359971609,0.116819,135577600,0,0,0.000099,0.000649,0
knucleotide,growler,2026-09-15T12:44:45.792380+10:00,0,0.1191345929983072,0.115888,135577600,0,0,0.000154,0.000864,0
knucleotide,growler,2026-09-15T12:44:46.183752+10:00,0,0.12098129198420793,0.118441,135577600,0,0,0.000103,0.000712,0
knucleotide,growler,2026-09-15T12:44:46.571328+10:00,0,0.1300944380054716,0.126742,135577600,0,0,0.000177,0.000979,0
knucleotide,growler,2026-09-15T12:44:46.973771+10:00,0,0.12451959299505688,0.120743,135639040,0,0,0.000212,0.000953,0
knucleotide,python3,2026-09-15T12:44:47.362146+10:00,0,0.9209420880069956,0.894602,34844672,0,0,0.000108,0.000282,0
knucleotide,python3,2026-09-15T12:44:48.539752+10:00,0,0.9471034230082296,0.921975,34693120,0,0,0.000182,0.000492,0
knucleotide,python3,2026-09-15T12:44:49.749015+10:00,0,0.935378589987522,0.90869,34627584,0,0,0.00087,0.001798,0
knucleotide,python3,2026-09-15T12:44:50.974479+10:00,0,0.9709657049970701,0.940832,34627584,0,0,0.000396,0.002023,0
knucleotide,python3,2026-09-15T12:44:52.211313+10:00,0,0.9895203069900163,0.961926,34582528,0,0,0.000464,0.00178,0
knucleotide,goal,2026-09-15T12:44:53.463571+10:00,0,0.08308633201522753,0.093695,89665536,0,0,0.000705,0.000409,0
knucleotide,goal,2026-09-15T12:44:53.803271+10:00,0,0.08519694997812621,0.094924,90071040,0,0,0.000293,0.000236,0
knucleotide,goal,2026-09-15T12:44:54.154809+10:00,0,0.0821628010016866,0.090579,95772672,0,0,0.000148,0.000353,0
knucleotide,goal,2026-09-15T12:44:54.502221+10:00,0,0.08390100000542589,0.092258,89874432,0,0,0.000431,0.000576,0
knucleotide,goal,2026-09-15T12:44:54.859633+10:00,0,0.0932461190095637,0.101564,90198016,0,0,0.000304,0.000309,0
